"Bus Table: I2C (SPI (with CS): 32 Bit, MSB, Clk = C1, Data = C3, CS = C4)"
"BLA"
Frame,Mark,Start Time in s,Length,Data,State
1,,-484.2176000e-6,1,0x4CCD0000,OK
2,,-461.5424000e-6,1,0x4CCD0000,OK
3,,-438.8672000e-6,1,0x4CCD0000,OK
4,,-416.1920000e-6,1,0x4CCD0000,OK
5,,-393.5104000e-6,1,0x4CCD0000,OK
6,,-370.8352000e-6,1,0x4CCD0000,OK
7,,-348.1600000e-6,1,0x4CCD0000,OK
8,,-325.4848000e-6,1,0x4CCD0000,OK
9,,-302.8096000e-6,1,0x4CCD0000,OK
10,,-280.1344000e-6,1,0x4CCD0000,OK
11,,-257.4592000e-6,1,0x4CCD0000,OK
12,,-234.7840000e-6,1,0x4CCD0000,OK
13,,-212.1088000e-6,1,0x33330000,OK
14,,-189.4336000e-6,1,0x33330000,OK
15,,-166.7520000e-6,1,0x33330000,OK
16,,-144.0768000e-6,1,0x33330000,OK
17,,-121.4016000e-6,1,0x33330000,OK
18,,-98.7264000e-6,1,0x33330000,OK
19,,-76.0512000e-6,1,0x33330000,OK
20,,-53.3760000e-6,1,0x33330000,OK
21,,-30.7008000e-6,1,0x33330000,OK
22,,-8.0256000e-6,1,0x33330000,OK
23,,14.6496000e-6,1,0x33330000,OK
24,,37.3248000e-6,1,0x33330000,OK
25,,60.0064000e-6,1,0x33330000,OK
26,,82.6816000e-6,1,0x33330000,OK
27,,105.3568000e-6,1,0x33330000,OK
28,,128.0320000e-6,1,0x33330000,OK
29,,150.7072000e-6,1,0x33330000,OK
30,,173.3824000e-6,1,0x33330000,OK
31,,196.0576000e-6,1,0x33330000,OK
32,,218.7328000e-6,1,0x33330000,OK
33,,241.4080000e-6,1,0x33330000,OK
34,,264.0832000e-6,1,0x33330000,OK
35,,286.7584000e-6,1,0x33330000,OK
36,,309.4400000e-6,1,0x33330000,OK
37,,332.1152000e-6,1,0x33330000,OK
38,,354.7904000e-6,1,0x33330000,OK
39,,377.4656000e-6,1,0x33330000,OK
40,,400.1408000e-6,1,0x33330000,OK
41,,422.8160000e-6,1,0x33330000,OK
42,,445.4912000e-6,1,0x33330000,OK
43,,468.1664000e-6,1,0x33330000,OK
44,,490.8416000e-6,1,0x33330000,OK
45,,513.5168000e-6,1,0x33330000,OK
46,,536.1984000e-6,1,0x33330000,OK
47,,558.8736000e-6,1,0x33330000,OK
48,,581.5488000e-6,1,0x33330000,OK
49,,604.2240000e-6,1,0x33330000,OK
50,,626.8992000e-6,1,0x33330000,OK
51,,649.5744000e-6,1,0x33330000,OK
52,,672.2496000e-6,1,0x33330000,OK
53,,694.9248000e-6,1,0x33330000,OK
54,,717.6000000e-6,1,0x33330000,OK
55,,740.2752000e-6,1,0x33330000,OK
56,,762.9568000e-6,1,0x33330000,OK
57,,785.6320000e-6,1,0x4CCD0000,OK
58,,808.3072000e-6,1,0x4CCD0000,OK
59,,830.9824000e-6,1,0x4CCD0000,OK
60,,853.6576000e-6,1,0x4CCD0000,OK
61,,876.3328000e-6,1,0x4CCD0000,OK
62,,899.0080000e-6,1,0x4CCD0000,OK
63,,921.6832000e-6,1,0x4CCD0000,OK
64,,944.3584000e-6,1,0x4CCD0000,OK
65,,967.0336000e-6,1,0x4CCD0000,OK
66,,989.7088000e-6,1,0x4CCD0000,OK
67,,1.0123904e-3,1,0x4CCD0000,OK
68,,1.0350656e-3,1,0x4CCD0000,OK
69,,1.0577408e-3,1,0x4CCD0000,OK
70,,1.0804160e-3,1,0x4CCD0000,OK
71,,1.1030912e-3,1,0x4CCD0000,OK
72,,1.1257664e-3,1,0x4CCD0000,OK
73,,1.1484416e-3,1,0x4CCD0000,OK
74,,1.1711168e-3,1,0x4CCD0000,OK
75,,1.1937920e-3,1,0x4CCD0000,OK
76,,1.2164672e-3,1,0x4CCD0000,OK
77,,1.2391488e-3,1,0x4CCD0000,OK
78,,1.2618240e-3,1,0x4CCD0000,OK
79,,1.2844992e-3,1,0x4CCD0000,OK
80,,1.3071744e-3,1,0x4CCD0000,OK
81,,1.3298496e-3,1,0x4CCD0000,OK
82,,1.3525248e-3,1,0x4CCD0000,OK
83,,1.3752000e-3,1,0x4CCD0000,OK
84,,1.3978752e-3,1,0x4CCD0000,OK
85,,1.4205504e-3,1,0x4CCD0000,OK
86,,1.4432256e-3,1,0x4CCD0000,OK
87,,1.4659008e-3,1,0x4CCD0000,OK
88,,1.4885824e-3,1,0x4CCD0000,OK
89,,1.5112576e-3,1,0x4CCD0000,OK
90,,1.5339328e-3,1,0x4CCD0000,OK
91,,1.5566080e-3,1,0x4CCD0000,OK
92,,1.5792832e-3,1,0x4CCD0000,OK
93,,1.6019584e-3,1,0x4CCD0000,OK
94,,1.6246336e-3,1,0x4CCD0000,OK
95,,1.6473088e-3,1,0x4CCD0000,OK
96,,1.6699840e-3,1,0x4CCD0000,OK
97,,1.6926592e-3,1,0x4CCD0000,OK
98,,1.7153408e-3,1,0x4CCD0000,OK
99,,1.7380160e-3,1,0x4CCD0000,OK
100,,1.7606912e-3,1,0x4CCD0000,OK
101,,1.7833664e-3,1,0x33330000,OK
102,,1.8060416e-3,1,0x33330000,OK
103,,1.8287168e-3,1,0x33330000,OK
104,,1.8513920e-3,1,0x33330000,OK
105,,1.8740672e-3,1,0x33330000,OK
106,,1.8967424e-3,1,0x33330000,OK
