in s,C1 in V
-1.1999744E-03,6.29789E+00
-1.1999560E-03,6.31742E+00
-1.1999376E-03,6.25883E+00
-1.1999192E-03,6.25883E+00
-1.1999008E-03,6.31742E+00
-1.1998824E-03,6.29789E+00
-1.1998640E-03,6.33695E+00
-1.1998456E-03,6.25883E+00
-1.1998272E-03,6.31742E+00
-1.1998088E-03,6.29789E+00
-1.1997904E-03,6.27836E+00
-1.1997720E-03,6.31742E+00
-1.1997536E-03,6.33695E+00
-1.1997352E-03,6.33695E+00
-1.1997168E-03,6.33695E+00
-1.1996984E-03,6.27836E+00
-1.1996800E-03,6.27836E+00
-1.1996616E-03,6.29789E+00
-1.1996432E-03,6.33695E+00
-1.1996248E-03,6.27836E+00
-1.1996064E-03,6.33695E+00
-1.1995880E-03,6.31742E+00
-1.1995696E-03,6.31742E+00
-1.1995512E-03,6.27836E+00
-1.1995328E-03,6.31742E+00
-1.1995144E-03,6.29789E+00
-1.1994960E-03,6.27836E+00
-1.1994776E-03,6.31742E+00
-1.1994592E-03,6.33695E+00
-1.1994408E-03,6.29789E+00
-1.1994224E-03,6.35648E+00
-1.1994040E-03,6.29789E+00
-1.1993856E-03,6.35648E+00
-1.1993672E-03,6.25883E+00
-1.1993488E-03,6.27836E+00
-1.1993304E-03,6.29789E+00
-1.1993120E-03,6.35648E+00
-1.1992936E-03,6.31742E+00
-1.1992752E-03,6.37602E+00
-1.1992568E-03,6.29789E+00
-1.1992384E-03,6.31742E+00
-1.1992200E-03,6.33695E+00
-1.1992016E-03,6.33695E+00
-1.1991832E-03,6.29789E+00
-1.1991648E-03,6.29789E+00
-1.1991464E-03,6.21977E+00
-1.1991280E-03,6.29789E+00
-1.1991096E-03,6.33695E+00
-1.1990912E-03,6.29789E+00
-1.1990728E-03,6.31742E+00
-1.1990544E-03,6.33695E+00
-1.1990360E-03,6.33695E+00
-1.1990176E-03,6.29789E+00
-1.1989992E-03,6.25883E+00
-1.1989808E-03,6.33695E+00
-1.1989624E-03,6.21977E+00
-1.1989440E-03,6.29789E+00
-1.1989256E-03,6.27836E+00
-1.1989072E-03,6.31742E+00
-1.1988888E-03,6.33695E+00
-1.1988704E-03,6.27836E+00
-1.1988520E-03,6.33695E+00
-1.1988336E-03,6.35648E+00
-1.1988152E-03,6.25883E+00
-1.1987968E-03,6.33695E+00
-1.1987784E-03,6.31742E+00
-1.1987600E-03,6.27836E+00
-1.1987416E-03,6.31742E+00
-1.1987232E-03,6.35648E+00
-1.1987048E-03,6.29789E+00
-1.1986864E-03,6.31742E+00
-1.1986680E-03,6.31742E+00
-1.1986496E-03,6.27836E+00
-1.1986312E-03,6.31742E+00
-1.1986128E-03,6.29789E+00
-1.1985944E-03,6.31742E+00
