in s,C2 in V
-2.9399888E-03,6.29789E+00
-2.9399436E-03,6.33695E+00
-2.9398984E-03,6.29789E+00
-2.9398532E-03,6.35648E+00
-2.9398080E-03,6.25883E+00
-2.9397628E-03,6.31742E+00
-2.9397176E-03,6.33695E+00
-2.9396724E-03,6.33695E+00
-2.9396272E-03,6.31742E+00
-2.9395820E-03,6.33695E+00
-2.9395368E-03,6.27836E+00
-2.9394916E-03,6.35648E+00
-2.9394464E-03,6.35648E+00
-2.9394012E-03,6.37602E+00
-2.9393560E-03,6.27836E+00
-2.9393108E-03,6.33695E+00
-2.9392656E-03,6.39555E+00
-2.9392204E-03,6.33695E+00
-2.9391752E-03,6.31742E+00
-2.9391300E-03,6.31742E+00
-2.9390848E-03,6.31742E+00
-2.9390396E-03,6.39555E+00
-2.9389944E-03,6.37602E+00
-2.9389492E-03,6.31742E+00
-2.9389040E-03,6.33695E+00
-2.9388588E-03,6.39555E+00
-2.9388136E-03,6.31742E+00
-2.9387684E-03,6.27836E+00
-2.9387232E-03,6.31742E+00
-2.9386780E-03,6.33695E+00
-2.9386328E-03,6.35648E+00
-2.9385876E-03,6.27836E+00
-2.9385424E-03,6.37602E+00
-2.9384972E-03,6.33695E+00
-2.9384520E-03,6.33695E+00
-2.9384068E-03,6.37602E+00
-2.9383616E-03,6.31742E+00
-2.9383164E-03,6.37602E+00
-2.9382712E-03,6.35648E+00
-2.9382260E-03,6.37602E+00
-2.9381808E-03,6.31742E+00
-2.9381356E-03,6.39555E+00
-2.9380904E-03,6.33695E+00
-2.9380452E-03,6.35648E+00
-2.9380000E-03,6.33695E+00
-2.9379548E-03,6.39555E+00
-2.9379096E-03,6.27836E+00
-2.9378644E-03,6.31742E+00
-2.9378192E-03,6.33695E+00
-2.9377740E-03,6.35648E+00
-2.9377288E-03,6.33695E+00
-2.9376836E-03,6.29789E+00
-2.9376384E-03,6.35648E+00
-2.9375932E-03,6.35648E+00
-2.9375480E-03,6.35648E+00
-2.9375028E-03,6.33695E+00
-2.9374576E-03,6.37602E+00
-2.9374124E-03,6.37602E+00
-2.9373672E-03,6.33695E+00
-2.9373220E-03,6.33695E+00
-2.9372768E-03,6.31742E+00
-2.9372316E-03,6.35648E+00
-2.9371864E-03,6.35648E+00
-2.9371412E-03,6.37602E+00
-2.9370960E-03,6.35648E+00
-2.9370508E-03,6.31742E+00
-2.9370056E-03,6.33695E+00
-2.9369604E-03,6.33695E+00
-2.9369152E-03,6.29789E+00
-2.9368700E-03,6.33695E+00
-2.9368248E-03,6.37602E+00
-2.9367796E-03,6.39555E+00
-2.9367344E-03,6.39555E+00
-2.9366892E-03,6.37602E+00
-2.9366440E-03,6.35648E+00
-2.9365988E-03,6.37602E+00
-2.9365536E-03,6.33695E+00
-2.9365084E-03,6.33695E+00
-2.9364632E-03,6.31742E+00
-2.9364180E-03,6.33695E+00
-2.9363728E-03,6.27836E+00
-2.9363276E-03,6.35648E+00
-2.9362824E-03,6.33695E+00
-2.9362372E-03,6.39555E+00
-2.9361920E-03,6.37602E+00
-2.9361468E-03,6.35648E+00
-2.9361016E-03,6.35648E+00
-2.9360564E-03,6.35648E+00
-2.9360112E-03,6.39555E+00
-2.9359660E-03,6.35648E+00
-2.9359208E-03,6.33695E+00
-2.9358756E-03,6.39555E+00
-2.9358304E-03,6.33695E+00
-2.9357852E-03,6.37602E+00
-2.9357400E-03,6.33695E+00
-2.9356948E-03,6.39555E+00
-2.9356496E-03,6.37602E+00
-2.9356044E-03,6.37602E+00
-2.9355592E-03,6.31742E+00
-2.9355140E-03,6.37602E+00
-2.9354688E-03,6.37602E+00
-2.9354236E-03,6.39555E+00
-2.9353784E-03,6.39555E+00
-2.9353332E-03,6.39555E+00
-2.9352880E-03,6.35648E+00
-2.9352428E-03,6.33695E+00
-2.9351976E-03,6.33695E+00
-2.9351524E-03,6.33695E+00
-2.9351072E-03,6.35648E+00
-2.9350620E-03,6.41508E+00
-2.9350168E-03,6.33695E+00
-2.9349716E-03,6.33695E+00
-2.9349264E-03,6.33695E+00
-2.9348812E-03,6.35648E+00
-2.9348360E-03,6.35648E+00
-2.9347908E-03,6.41508E+00
-2.9347456E-03,6.29789E+00
-2.9347004E-03,6.39555E+00
-2.9346552E-03,6.41508E+00
-2.9346100E-03,6.41508E+00
-2.9345648E-03,6.37602E+00
-2.9345196E-03,6.33695E+00
-2.9344744E-03,6.37602E+00
-2.9344292E-03,6.39555E+00
-2.9343840E-03,6.39555E+00
-2.9343388E-03,6.33695E+00
-2.9342936E-03,6.39555E+00
-2.9342484E-03,6.41508E+00
-2.9342032E-03,6.33695E+00
-2.9341580E-03,6.41508E+00
-2.9341128E-03,6.37602E+00
-2.9340676E-03,6.41508E+00
-2.9340224E-03,6.41508E+00
-2.9339772E-03,6.35648E+00
-2.9339320E-03,6.39555E+00
-2.9338868E-03,6.33695E+00
-2.9338416E-03,6.35648E+00
-2.9337964E-03,6.41508E+00
-2.9337512E-03,6.41508E+00
-2.9337060E-03,6.35648E+00
-2.9336608E-03,6.33695E+00
-2.9336156E-03,6.35648E+00
-2.9335704E-03,6.39555E+00
-2.9335252E-03,6.45414E+00
-2.9334800E-03,6.35648E+00
-2.9334348E-03,6.43461E+00
-2.9333896E-03,6.39555E+00
-2.9333444E-03,6.35648E+00
-2.9332992E-03,6.37602E+00
-2.9332540E-03,6.39555E+00
-2.9332088E-03,6.35648E+00
-2.9331636E-03,6.35648E+00
-2.9331184E-03,6.39555E+00
-2.9330732E-03,6.35648E+00
-2.9330280E-03,6.35648E+00
-2.9329828E-03,6.41508E+00
-2.9329376E-03,6.35648E+00
-2.9328924E-03,6.39555E+00
-2.9328472E-03,6.39555E+00
-2.9328020E-03,6.35648E+00
-2.9327568E-03,6.35648E+00
-2.9327116E-03,6.41508E+00
-2.9326664E-03,6.35648E+00
-2.9326212E-03,6.41508E+00
-2.9325760E-03,6.39555E+00
-2.9325308E-03,6.41508E+00
-2.9324856E-03,6.41508E+00
-2.9324404E-03,6.47367E+00
-2.9323952E-03,6.41508E+00
-2.9323500E-03,6.39555E+00
-2.9323048E-03,6.39555E+00
-2.9322596E-03,6.41508E+00
-2.9322144E-03,6.37602E+00
-2.9321692E-03,6.45414E+00
-2.9321240E-03,6.41508E+00
-2.9320788E-03,6.41508E+00
-2.9320336E-03,6.37602E+00
-2.9319884E-03,6.41508E+00
-2.9319432E-03,6.39555E+00
-2.9318980E-03,6.41508E+00
-2.9318528E-03,6.39555E+00
-2.9318076E-03,6.43461E+00
-2.9317624E-03,6.39555E+00
-2.9317172E-03,6.41508E+00
-2.9316720E-03,6.37602E+00
-2.9316268E-03,6.41508E+00
-2.9315816E-03,6.39555E+00
-2.9315364E-03,6.41508E+00
-2.9314912E-03,6.39555E+00
-2.9314460E-03,6.41508E+00
-2.9314008E-03,6.41508E+00
-2.9313556E-03,6.39555E+00
-2.9313104E-03,6.39555E+00
-2.9312652E-03,6.41508E+00
-2.9312200E-03,6.41508E+00
-2.9311748E-03,6.41508E+00
-2.9311296E-03,6.39555E+00
-2.9310844E-03,6.39555E+00
-2.9310392E-03,6.35648E+00
-2.9309940E-03,6.41508E+00
-2.9309488E-03,6.39555E+00
-2.9309036E-03,6.41508E+00
-2.9308584E-03,6.39555E+00
-2.9308132E-03,6.39555E+00
-2.9307680E-03,6.43461E+00
-2.9307228E-03,6.41508E+00
-2.9306776E-03,6.41508E+00
-2.9306324E-03,6.41508E+00
-2.9305872E-03,6.41508E+00
-2.9305420E-03,6.39555E+00
-2.9304968E-03,6.35648E+00
-2.9304516E-03,6.41508E+00
-2.9304064E-03,6.39555E+00
-2.9303612E-03,6.41508E+00
-2.9303160E-03,6.41508E+00
-2.9302708E-03,6.43461E+00
-2.9302256E-03,6.39555E+00
-2.9301804E-03,6.41508E+00
-2.9301352E-03,6.41508E+00
-2.9300900E-03,6.45414E+00
-2.9300448E-03,6.41508E+00
-2.9299996E-03,6.39555E+00
-2.9299544E-03,6.35648E+00
-2.9299092E-03,6.45414E+00
-2.9298640E-03,6.41508E+00
-2.9298188E-03,6.41508E+00
-2.9297736E-03,6.41508E+00
-2.9297284E-03,6.41508E+00
-2.9296832E-03,6.39555E+00
-2.9296380E-03,6.41508E+00
-2.9295928E-03,6.41508E+00
-2.9295476E-03,6.47367E+00
-2.9295024E-03,6.45414E+00
-2.9294572E-03,6.43461E+00
-2.9294120E-03,6.43461E+00
-2.9293668E-03,6.45414E+00
-2.9293216E-03,6.37602E+00
-2.9292764E-03,6.41508E+00
-2.9292312E-03,6.39555E+00
-2.9291860E-03,6.39555E+00
-2.9291408E-03,6.41508E+00
