in Hz,Spectrum in dBm
0.0000E+00,-2.86484E+01
1.7091E+00,-2.56084E+01
3.4182E+00,-2.61884E+01
5.1273E+00,-2.86484E+01
6.8364E+00,-3.38684E+01
8.5455E+00,-4.22284E+01
1.0255E+01,-4.77284E+01
1.1964E+01,-4.78484E+01
1.3673E+01,-4.84884E+01
1.5382E+01,-4.96684E+01
1.7091E+01,-5.17084E+01
1.8800E+01,-5.50884E+01
2.0509E+01,-6.11084E+01
2.2218E+01,-7.01084E+01
2.3927E+01,-6.57284E+01
2.5636E+01,-6.13684E+01
2.7346E+01,-5.99284E+01
2.9055E+01,-6.29884E+01
3.0764E+01,-6.55484E+01
3.2473E+01,-5.77084E+01
3.4182E+01,-5.29484E+01
3.5891E+01,-4.97684E+01
3.7600E+01,-4.74884E+01
3.9309E+01,-4.59284E+01
4.1018E+01,-4.52684E+01
4.2727E+01,-4.54684E+01
4.4436E+01,-4.61484E+01
4.6146E+01,-4.68084E+01
4.7855E+01,-4.75284E+01
4.9564E+01,-4.86084E+01
5.1273E+01,-4.94284E+01
5.2982E+01,-4.93884E+01
5.4691E+01,-4.90284E+01
5.6400E+01,-4.89684E+01
5.8109E+01,-4.88084E+01
5.9818E+01,-4.81884E+01
6.1527E+01,-4.78284E+01
6.3236E+01,-4.81884E+01
6.4946E+01,-4.86284E+01
6.6655E+01,-4.87484E+01
6.8364E+01,-4.91884E+01
7.0073E+01,-4.99284E+01
7.1782E+01,-4.97484E+01
7.3491E+01,-4.83884E+01
7.5200E+01,-4.72284E+01
7.6909E+01,-4.68684E+01
7.8618E+01,-4.67284E+01
8.0327E+01,-4.66284E+01
8.2037E+01,-4.74484E+01
8.3746E+01,-4.97084E+01
8.5455E+01,-5.25884E+01
8.7164E+01,-5.26084E+01
8.8873E+01,-4.98084E+01
9.0582E+01,-4.76484E+01
9.2291E+01,-4.71284E+01
9.4000E+01,-4.83084E+01
9.5709E+01,-5.06684E+01
9.7418E+01,-5.20084E+01
9.9127E+01,-5.00684E+01
1.0084E+02,-4.74284E+01
1.0255E+02,-4.59484E+01
1.0425E+02,-4.58884E+01
