in s,C1 in V
-1.8600128E-03,4.77793E-02
-1.8599840E-03,4.77793E-02
-1.8599552E-03,4.82676E-02
-1.8599264E-03,4.77793E-02
-1.8598976E-03,4.72910E-02
-1.8598688E-03,4.77793E-02
-1.8598400E-03,4.63145E-02
-1.8598112E-03,4.72910E-02
-1.8597824E-03,4.72910E-02
-1.8597536E-03,4.77793E-02
-1.8597248E-03,4.68027E-02
-1.8596960E-03,4.77793E-02
-1.8596672E-03,4.72910E-02
-1.8596384E-03,4.72910E-02
-1.8596096E-03,4.68027E-02
-1.8595808E-03,4.82676E-02
-1.8595520E-03,4.77793E-02
-1.8595232E-03,4.77793E-02
-1.8594944E-03,4.82676E-02
-1.8594656E-03,4.72910E-02
-1.8594368E-03,4.87559E-02
-1.8594080E-03,4.77793E-02
-1.8593792E-03,4.68027E-02
-1.8593504E-03,4.63145E-02
-1.8593216E-03,4.72910E-02
-1.8592928E-03,4.77793E-02
-1.8592640E-03,4.72910E-02
-1.8592352E-03,4.72910E-02
-1.8592064E-03,4.82676E-02
-1.8591776E-03,4.72910E-02
-1.8591488E-03,4.77793E-02
-1.8591200E-03,4.82676E-02
-1.8590912E-03,4.77793E-02
-1.8590624E-03,4.72910E-02
-1.8590336E-03,4.87559E-02
-1.8590048E-03,4.72910E-02
-1.8589760E-03,4.82676E-02
-1.8589472E-03,4.82676E-02
-1.8589184E-03,4.77793E-02
-1.8588896E-03,4.77793E-02
-1.8588608E-03,4.92441E-02
-1.8588320E-03,4.87559E-02
-1.8588032E-03,4.87559E-02
-1.8587744E-03,4.87559E-02
-1.8587456E-03,4.72910E-02
-1.8587168E-03,4.63145E-02
-1.8586880E-03,4.82676E-02
-1.8586592E-03,4.92441E-02
-1.8586304E-03,4.72910E-02
-1.8586016E-03,5.07090E-02
-1.8585728E-03,4.87559E-02
-1.8585440E-03,4.87559E-02
-1.8585152E-03,4.92441E-02
-1.8584864E-03,4.72910E-02
-1.8584576E-03,4.77793E-02
-1.8584288E-03,4.87559E-02
-1.8584000E-03,4.82676E-02
-1.8583712E-03,4.82676E-02
-1.8583424E-03,4.82676E-02
-1.8583136E-03,4.72910E-02
-1.8582848E-03,4.77793E-02
-1.8582560E-03,4.77793E-02
-1.8582272E-03,4.77793E-02
-1.8581984E-03,4.72910E-02
-1.8581696E-03,4.87559E-02
-1.8581408E-03,4.87559E-02
-1.8581120E-03,4.72910E-02
-1.8580832E-03,4.72910E-02
-1.8580544E-03,4.72910E-02
-1.8580256E-03,4.72910E-02
-1.8579968E-03,4.72910E-02
-1.8579680E-03,4.82676E-02
-1.8579392E-03,4.77793E-02
-1.8579104E-03,4.77793E-02
-1.8578816E-03,4.68027E-02
-1.8578528E-03,4.77793E-02
-1.8578240E-03,4.87559E-02
-1.8577952E-03,4.82676E-02
-1.8577664E-03,4.68027E-02
-1.8577376E-03,4.82676E-02
-1.8577088E-03,4.77793E-02
-1.8576800E-03,4.82676E-02
-1.8576512E-03,4.82676E-02
-1.8576224E-03,4.82676E-02
-1.8575936E-03,4.82676E-02
-1.8575648E-03,4.72910E-02
-1.8575360E-03,4.87559E-02
-1.8575072E-03,4.77793E-02
-1.8574784E-03,4.68027E-02
-1.8574496E-03,4.72910E-02
-1.8574208E-03,4.72910E-02
-1.8573920E-03,4.77793E-02
-1.8573632E-03,4.82676E-02
-1.8573344E-03,4.77793E-02
-1.8573056E-03,4.87559E-02
-1.8572768E-03,4.77793E-02
-1.8572480E-03,4.82676E-02
-1.8572192E-03,4.87559E-02
-1.8571904E-03,4.68027E-02
-1.8571616E-03,4.72910E-02
-1.8571328E-03,4.72910E-02
-1.8571040E-03,4.92441E-02
-1.8570752E-03,4.77793E-02
-1.8570464E-03,4.92441E-02
-1.8570176E-03,4.87559E-02
-1.8569888E-03,4.68027E-02
-1.8569600E-03,4.77793E-02
-1.8569312E-03,4.82676E-02
-1.8569024E-03,4.72910E-02
-1.8568736E-03,4.87559E-02
-1.8568448E-03,4.63145E-02
-1.8568160E-03,4.77793E-02
-1.8567872E-03,4.72910E-02
-1.8567584E-03,4.58262E-02
-1.8567296E-03,4.77793E-02
-1.8567008E-03,4.68027E-02
-1.8566720E-03,4.77793E-02
-1.8566432E-03,4.72910E-02
-1.8566144E-03,4.82676E-02
-1.8565856E-03,4.72910E-02
-1.8565568E-03,4.82676E-02
-1.8565280E-03,4.72910E-02
-1.8564992E-03,4.82676E-02
-1.8564704E-03,4.72910E-02
-1.8564416E-03,4.68027E-02
-1.8564128E-03,4.72910E-02
-1.8563840E-03,4.77793E-02
-1.8563552E-03,4.72910E-02
-1.8563264E-03,4.72910E-02
-1.8562976E-03,4.72910E-02
-1.8562688E-03,4.68027E-02
-1.8562400E-03,4.72910E-02
-1.8562112E-03,4.77793E-02
-1.8561824E-03,4.72910E-02
-1.8561536E-03,4.82676E-02
-1.8561248E-03,4.72910E-02
-1.8560960E-03,4.68027E-02
-1.8560672E-03,4.58262E-02
-1.8560384E-03,4.87559E-02
-1.8560096E-03,4.77793E-02
-1.8559808E-03,4.82676E-02
-1.8559520E-03,4.72910E-02
-1.8559232E-03,4.72910E-02
-1.8558944E-03,4.87559E-02
-1.8558656E-03,4.72910E-02
-1.8558368E-03,4.72910E-02
-1.8558080E-03,4.72910E-02
-1.8557792E-03,4.72910E-02
-1.8557504E-03,4.77793E-02
-1.8557216E-03,4.72910E-02
-1.8556928E-03,4.58262E-02
-1.8556640E-03,4.68027E-02
-1.8556352E-03,4.72910E-02
