in s,C2 in V
-1.06720E-06,-1.37461E+00
-1.06640E-06,-1.37461E+00
-1.06560E-06,-1.35508E+00
-1.06480E-06,-1.35508E+00
-1.06400E-06,-1.39414E+00
-1.06320E-06,-1.37461E+00
-1.06240E-06,-1.45273E+00
-1.06160E-06,-1.41367E+00
-1.06080E-06,-1.45273E+00
-1.06000E-06,-1.43320E+00
-1.05920E-06,-1.47227E+00
-1.05840E-06,-1.47227E+00
-1.05760E-06,-1.53086E+00
-1.05680E-06,-1.53086E+00
-1.05600E-06,-1.60898E+00
-1.05520E-06,-1.56992E+00
-1.05440E-06,-1.66758E+00
-1.05360E-06,-1.64805E+00
-1.05280E-06,-1.66758E+00
-1.05200E-06,-1.64805E+00
-1.05120E-06,-1.66758E+00
-1.05040E-06,-1.70664E+00
-1.04960E-06,-1.70664E+00
-1.04880E-06,-1.74570E+00
-1.04800E-06,-1.74570E+00
-1.04720E-06,-1.76523E+00
-1.04640E-06,-1.64805E+00
-1.04560E-06,-1.76523E+00
-1.04480E-06,-1.82383E+00
-1.04400E-06,-1.84336E+00
-1.04320E-06,-1.82383E+00
-1.04240E-06,-1.76523E+00
-1.04160E-06,-1.86289E+00
-1.04080E-06,-1.80430E+00
-1.04000E-06,-1.78477E+00
-1.03920E-06,-1.84336E+00
-1.03840E-06,-1.86289E+00
-1.03760E-06,-1.82383E+00
-1.03680E-06,-1.76523E+00
-1.03600E-06,-1.84336E+00
-1.03520E-06,-1.84336E+00
-1.03440E-06,-1.76523E+00
-1.03360E-06,-1.84336E+00
-1.03280E-06,-1.78477E+00
-1.03200E-06,-1.82383E+00
-1.03120E-06,-1.84336E+00
-1.03040E-06,-1.80430E+00
-1.02960E-06,-1.78477E+00
-1.02880E-06,-1.82383E+00
-1.02800E-06,-1.82383E+00
-1.02720E-06,-1.72617E+00
-1.02640E-06,-1.76523E+00
-1.02560E-06,-1.76523E+00
-1.02480E-06,-1.76523E+00
-1.02400E-06,-1.74570E+00
-1.02320E-06,-1.70664E+00
-1.02240E-06,-1.68711E+00
-1.02160E-06,-1.68711E+00
-1.02080E-06,-1.72617E+00
-1.02000E-06,-1.72617E+00
-1.01920E-06,-1.70664E+00
-1.01840E-06,-1.68711E+00
-1.01760E-06,-1.72617E+00
-1.01680E-06,-1.72617E+00
-1.01600E-06,-1.68711E+00
-1.01520E-06,-1.68711E+00
-1.01440E-06,-1.66758E+00
-1.01360E-06,-1.68711E+00
-1.01280E-06,-1.62852E+00
-1.01200E-06,-1.62852E+00
-1.01120E-06,-1.66758E+00
-1.01040E-06,-1.66758E+00
-1.00960E-06,-1.62852E+00
-1.00880E-06,-1.62852E+00
-1.00800E-06,-1.66758E+00
-1.00720E-06,-1.58945E+00
-1.00640E-06,-1.62852E+00
-1.00560E-06,-1.66758E+00
-1.00480E-06,-1.64805E+00
-1.00400E-06,-1.66758E+00
-1.00320E-06,-1.64805E+00
-1.00240E-06,-1.66758E+00
-1.00160E-06,-1.66758E+00
-1.00080E-06,-1.62852E+00
-1.00000E-06,-1.64805E+00
-9.99200E-07,-1.64805E+00
-9.98400E-07,-1.68711E+00
-9.97600E-07,-1.62852E+00
-9.96800E-07,-1.62852E+00
-9.96000E-07,-1.60898E+00
-9.95200E-07,-1.66758E+00
-9.94400E-07,-1.64805E+00
-9.93600E-07,-1.62852E+00
-9.92800E-07,-1.64805E+00
-9.92000E-07,-1.70664E+00
-9.91200E-07,-1.62852E+00
-9.90400E-07,-1.66758E+00
-9.89600E-07,-1.68711E+00
-9.88800E-07,-1.66758E+00
-9.88000E-07,-1.64805E+00
-9.87200E-07,-1.62852E+00
-9.86400E-07,-1.68711E+00
-9.85600E-07,-1.70664E+00
-9.84800E-07,-1.64805E+00
-9.84000E-07,-1.68711E+00
-9.83200E-07,-1.62852E+00
-9.82400E-07,-1.68711E+00
-9.81600E-07,-1.62852E+00
-9.80800E-07,-1.62852E+00
-9.80000E-07,-1.68711E+00
-9.79200E-07,-1.68711E+00
-9.78400E-07,-1.72617E+00
-9.77600E-07,-1.68711E+00
-9.76800E-07,-1.66758E+00
-9.76000E-07,-1.66758E+00
-9.75200E-07,-1.68711E+00
-9.74400E-07,-1.66758E+00
-9.73600E-07,-1.72617E+00
-9.72800E-07,-1.68711E+00
-9.72000E-07,-1.70664E+00
-9.71200E-07,-1.68711E+00
-9.70400E-07,-1.64805E+00
-9.69600E-07,-1.66758E+00
-9.68800E-07,-1.66758E+00
-9.68000E-07,-1.70664E+00
-9.67200E-07,-1.62852E+00
-9.66400E-07,-1.68711E+00
-9.65600E-07,-1.68711E+00
-9.64800E-07,-1.70664E+00
-9.64000E-07,-1.64805E+00
-9.63200E-07,-1.72617E+00
-9.62400E-07,-1.68711E+00
-9.61600E-07,-1.68711E+00
-9.60800E-07,-1.68711E+00
-9.60000E-07,-1.68711E+00
-9.59200E-07,-1.62852E+00
-9.58400E-07,-1.66758E+00
-9.57600E-07,-1.66758E+00
-9.56800E-07,-1.64805E+00
-9.56000E-07,-1.66758E+00
-9.55200E-07,-1.64805E+00
-9.54400E-07,-1.68711E+00
-9.53600E-07,-1.62852E+00
-9.52800E-07,-1.66758E+00
-9.52000E-07,-1.64805E+00
-9.51200E-07,-1.64805E+00
-9.50400E-07,-1.64805E+00
-9.49600E-07,-1.68711E+00
-9.48800E-07,-1.66758E+00
-9.48000E-07,-1.64805E+00
-9.47200E-07,-1.68711E+00
-9.46400E-07,-1.64805E+00
-9.45600E-07,-1.68711E+00
-9.44800E-07,-1.66758E+00
-9.44000E-07,-1.64805E+00
-9.43200E-07,-1.66758E+00
-9.42400E-07,-1.64805E+00
-9.41600E-07,-1.58945E+00
-9.40800E-07,-1.68711E+00
-9.40000E-07,-1.68711E+00
-9.39200E-07,-1.72617E+00
-9.38400E-07,-1.64805E+00
-9.37600E-07,-1.62852E+00
-9.36800E-07,-1.62852E+00
-9.36000E-07,-1.62852E+00
-9.35200E-07,-1.60898E+00
-9.34400E-07,-1.62852E+00
-9.33600E-07,-1.68711E+00
-9.32800E-07,-1.66758E+00
-9.32000E-07,-1.58945E+00
-9.31200E-07,-1.64805E+00
-9.30400E-07,-1.62852E+00
-9.29600E-07,-1.64805E+00
-9.28800E-07,-1.66758E+00
-9.28000E-07,-1.64805E+00
-9.27200E-07,-1.68711E+00
-9.26400E-07,-1.62852E+00
-9.25600E-07,-1.64805E+00
-9.24800E-07,-1.68711E+00
-9.24000E-07,-1.64805E+00
-9.23200E-07,-1.68711E+00
-9.22400E-07,-1.64805E+00
-9.21600E-07,-1.68711E+00
-9.20800E-07,-1.58945E+00
-9.20000E-07,-1.68711E+00
-9.19200E-07,-1.68711E+00
-9.18400E-07,-1.64805E+00
-9.17600E-07,-1.60898E+00
-9.16800E-07,-1.66758E+00
-9.16000E-07,-1.64805E+00
-9.15200E-07,-1.68711E+00
-9.14400E-07,-1.68711E+00
-9.13600E-07,-1.68711E+00
-9.12800E-07,-1.68711E+00
-9.12000E-07,-1.66758E+00
-9.11200E-07,-1.66758E+00
-9.10400E-07,-1.64805E+00
-9.09600E-07,-1.62852E+00
-9.08800E-07,-1.68711E+00
-9.08000E-07,-1.66758E+00
-9.07200E-07,-1.66758E+00
-9.06400E-07,-1.68711E+00
-9.05600E-07,-1.66758E+00
-9.04800E-07,-1.68711E+00
-9.04000E-07,-1.66758E+00
-9.03200E-07,-1.68711E+00
-9.02400E-07,-1.70664E+00
-9.01600E-07,-1.70664E+00
-9.00800E-07,-1.68711E+00
-9.00000E-07,-1.64805E+00
-8.99200E-07,-1.66758E+00
-8.98400E-07,-1.62852E+00
-8.97600E-07,-1.66758E+00
-8.96800E-07,-1.68711E+00
-8.96000E-07,-1.70664E+00
-8.95200E-07,-1.66758E+00
-8.94400E-07,-1.74570E+00
-8.93600E-07,-1.68711E+00
-8.92800E-07,-1.78477E+00
-8.92000E-07,-1.82383E+00
-8.91200E-07,-1.88242E+00
-8.90400E-07,-1.90195E+00
-8.89600E-07,-1.92148E+00
-8.88800E-07,-1.92148E+00
-8.88000E-07,-1.99961E+00
-8.87200E-07,-1.96055E+00
-8.86400E-07,-1.94102E+00
-8.85600E-07,-1.92148E+00
-8.84800E-07,-1.92148E+00
-8.84000E-07,-1.86289E+00
-8.83200E-07,-1.90195E+00
-8.82400E-07,-1.82383E+00
-8.81600E-07,-1.86289E+00
-8.80800E-07,-1.76523E+00
-8.80000E-07,-1.78477E+00
-8.79200E-07,-1.76523E+00
-8.78400E-07,-1.78477E+00
-8.77600E-07,-1.76523E+00
-8.76800E-07,-1.68711E+00
-8.76000E-07,-1.66758E+00
-8.75200E-07,-1.62852E+00
-8.74400E-07,-1.60898E+00
-8.73600E-07,-1.66758E+00
-8.72800E-07,-1.58945E+00
-8.72000E-07,-1.64805E+00
-8.71200E-07,-1.60898E+00
-8.70400E-07,-1.62852E+00
-8.69600E-07,-1.55039E+00
-8.68800E-07,-1.55039E+00
-8.68000E-07,-1.49180E+00
-8.67200E-07,-1.53086E+00
-8.66400E-07,-1.51133E+00
-8.65600E-07,-1.47227E+00
-8.64800E-07,-1.51133E+00
-8.64000E-07,-1.51133E+00
-8.63200E-07,-1.51133E+00
-8.62400E-07,-1.49180E+00
-8.61600E-07,-1.51133E+00
-8.60800E-07,-1.49180E+00
-8.60000E-07,-1.49180E+00
-8.59200E-07,-1.49180E+00
-8.58400E-07,-1.51133E+00
-8.57600E-07,-1.51133E+00
-8.56800E-07,-1.49180E+00
-8.56000E-07,-1.51133E+00
-8.55200E-07,-1.53086E+00
-8.54400E-07,-1.51133E+00
-8.53600E-07,-1.51133E+00
-8.52800E-07,-1.51133E+00
-8.52000E-07,-1.53086E+00
-8.51200E-07,-1.53086E+00
-8.50400E-07,-1.47227E+00
-8.49600E-07,-1.55039E+00
-8.48800E-07,-1.55039E+00
-8.48000E-07,-1.56992E+00
