in Hz,Spectrum in dBm
0.0000000E+00,-2.48069E+01
3.0517578E-01,-2.19869E+01
6.1035156E-01,-2.51069E+01
9.1552734E-01,-3.43069E+01
1.2207031E+00,-4.70869E+01
1.5258789E+00,-4.93669E+01
1.8310547E+00,-5.04869E+01
2.1362305E+00,-5.39869E+01
2.4414063E+00,-6.38269E+01
2.7465820E+00,-6.04869E+01
3.0517578E+00,-5.77869E+01
3.3569336E+00,-5.49069E+01
3.6621094E+00,-5.17269E+01
3.9672852E+00,-5.10469E+01
4.2724609E+00,-5.36269E+01
4.5776367E+00,-5.91069E+01
4.8828125E+00,-5.89469E+01
5.1879883E+00,-5.21869E+01
5.4931641E+00,-5.01669E+01
5.7983398E+00,-5.05469E+01
6.1035156E+00,-5.29269E+01
6.4086914E+00,-5.76469E+01
6.7138672E+00,-6.61669E+01
7.0190430E+00,-7.45269E+01
7.3242188E+00,-6.04469E+01
7.6293945E+00,-5.52669E+01
7.9345703E+00,-5.19869E+01
8.2397461E+00,-5.10069E+01
8.5449219E+00,-5.19669E+01
8.8500977E+00,-5.43469E+01
9.1552734E+00,-5.88069E+01
9.4604492E+00,-6.44669E+01
9.7656250E+00,-6.12069E+01
1.0070801E+01,-5.68469E+01
1.0375977E+01,-5.88469E+01
1.0681152E+01,-6.48469E+01
1.0986328E+01,-6.87669E+01
1.1291504E+01,-6.65669E+01
1.1596680E+01,-5.70269E+01
1.1901855E+01,-5.53669E+01
1.2207031E+01,-5.63669E+01
1.2512207E+01,-5.84869E+01
1.2817383E+01,-6.46069E+01
1.3122559E+01,-8.18869E+01
1.3427734E+01,-8.17269E+01
1.3732910E+01,-7.28269E+01
1.4038086E+01,-6.73469E+01
1.4343262E+01,-6.16269E+01
1.4648438E+01,-6.05469E+01
1.4953613E+01,-5.95869E+01
1.5258789E+01,-5.95669E+01
1.5563965E+01,-5.77669E+01
1.5869141E+01,-5.70869E+01
1.6174316E+01,-5.89869E+01
1.6479492E+01,-6.04469E+01
1.6784668E+01,-6.36869E+01
1.7089844E+01,-7.48469E+01
1.7395020E+01,-6.93069E+01
1.7700195E+01,-6.25869E+01
1.8005371E+01,-6.07869E+01
1.8310547E+01,-5.85469E+01
1.8615723E+01,-5.72869E+01
1.8920898E+01,-5.80869E+01
1.9226074E+01,-5.73269E+01
1.9531250E+01,-5.60069E+01
1.9836426E+01,-5.62069E+01
2.0141602E+01,-5.71469E+01
2.0446777E+01,-5.90269E+01
2.0751953E+01,-5.97669E+01
2.1057129E+01,-6.04469E+01
2.1362305E+01,-5.90469E+01
2.1667480E+01,-5.50669E+01
2.1972656E+01,-5.27269E+01
2.2277832E+01,-5.29269E+01
2.2583008E+01,-5.53269E+01
2.2888184E+01,-5.91669E+01
