in s,C2 in V
-4.8717440E-04,9.02617E-01
-4.8715600E-04,8.34258E-01
-4.8713760E-04,8.34258E-01
-4.8711920E-04,8.63555E-01
-4.8710080E-04,8.63555E-01
-4.8708240E-04,8.34258E-01
-4.8706400E-04,8.34258E-01
-4.8704560E-04,8.73320E-01
-4.8702720E-04,8.73320E-01
-4.8700880E-04,8.73320E-01
-4.8699040E-04,8.24492E-01
-4.8697200E-04,9.02617E-01
-4.8695360E-04,9.02617E-01
-4.8693520E-04,9.02617E-01
-4.8691680E-04,9.02617E-01
-4.8689840E-04,9.22148E-01
-4.8688000E-04,9.02617E-01
-4.8686160E-04,8.92852E-01
-4.8684320E-04,8.83086E-01
-4.8682480E-04,9.02617E-01
-4.8680640E-04,9.31914E-01
-4.8678800E-04,8.53789E-01
-4.8676960E-04,8.63555E-01
-4.8675120E-04,8.63555E-01
-4.8673280E-04,8.53789E-01
-4.8671440E-04,8.73320E-01
-4.8669600E-04,8.92852E-01
-4.8667760E-04,8.83086E-01
-4.8665920E-04,8.63555E-01
-4.8664080E-04,7.85430E-01
-4.8662240E-04,8.34258E-01
-4.8660400E-04,8.53789E-01
-4.8658560E-04,8.73320E-01
-4.8656720E-04,8.63555E-01
-4.8654880E-04,8.63555E-01
-4.8653040E-04,8.63555E-01
-4.8651200E-04,8.24492E-01
-4.8649360E-04,8.24492E-01
-4.8647520E-04,8.24492E-01
-4.8645680E-04,8.63555E-01
-4.8643840E-04,8.14727E-01
-4.8642000E-04,7.95195E-01
-4.8640160E-04,8.14727E-01
-4.8638320E-04,8.24492E-01
-4.8636480E-04,8.24492E-01
-4.8634640E-04,8.24492E-01
-4.8632800E-04,8.44023E-01
-4.8630960E-04,8.04961E-01
-4.8629120E-04,7.56133E-01
-4.8627280E-04,7.95195E-01
-4.8625440E-04,8.83086E-01
-4.8623600E-04,8.73320E-01
-4.8621760E-04,8.73320E-01
-4.8619920E-04,8.73320E-01
-4.8618080E-04,8.63555E-01
-4.8616240E-04,8.44023E-01
-4.8614400E-04,8.34258E-01
-4.8612560E-04,8.34258E-01
-4.8610720E-04,8.73320E-01
-4.8608880E-04,8.24492E-01
-4.8607040E-04,8.04961E-01
-4.8605200E-04,8.14727E-01
-4.8603360E-04,8.53789E-01
-4.8601520E-04,8.53789E-01
-4.8599680E-04,8.24492E-01
-4.8597840E-04,8.34258E-01
-4.8596000E-04,8.34258E-01
-4.8594160E-04,8.63555E-01
-4.8592320E-04,8.04961E-01
-4.8590480E-04,8.53789E-01
-4.8588640E-04,8.63555E-01
-4.8586800E-04,8.63555E-01
-4.8584960E-04,8.53789E-01
-4.8583120E-04,8.83086E-01
-4.8581280E-04,8.53789E-01
-4.8579440E-04,8.44023E-01
-4.8577600E-04,8.63555E-01
-4.8575760E-04,9.12383E-01
-4.8573920E-04,8.73320E-01
-4.8572080E-04,8.44023E-01
-4.8570240E-04,8.63555E-01
-4.8568400E-04,8.53789E-01
-4.8566560E-04,8.73320E-01
-4.8564720E-04,8.92852E-01
-4.8562880E-04,8.92852E-01
-4.8561040E-04,8.83086E-01
-4.8559200E-04,8.92852E-01
-4.8557360E-04,8.34258E-01
-4.8555520E-04,9.12383E-01
-4.8553680E-04,9.02617E-01
-4.8551840E-04,9.12383E-01
-4.8550000E-04,8.83086E-01
-4.8548160E-04,8.92852E-01
-4.8546320E-04,8.73320E-01
-4.8544480E-04,8.63555E-01
-4.8542640E-04,8.44023E-01
-4.8540800E-04,9.02617E-01
-4.8538960E-04,9.12383E-01
-4.8537120E-04,8.34258E-01
-4.8535280E-04,8.63555E-01
-4.8533440E-04,8.63555E-01
-4.8531600E-04,8.63555E-01
-4.8529760E-04,8.73320E-01
-4.8527920E-04,8.63555E-01
-4.8526080E-04,8.73320E-01
-4.8524240E-04,8.92852E-01
-4.8522400E-04,8.04961E-01
-4.8520560E-04,8.83086E-01
-4.8518720E-04,9.22148E-01
-4.8516880E-04,9.12383E-01
-4.8515040E-04,9.51445E-01
-4.8513200E-04,9.12383E-01
-4.8511360E-04,9.31914E-01
-4.8509520E-04,9.12383E-01
-4.8507680E-04,9.02617E-01
-4.8505840E-04,8.92852E-01
-4.8504000E-04,9.61211E-01
-4.8502160E-04,8.83086E-01
-4.8500320E-04,8.92852E-01
-4.8498480E-04,8.92852E-01
-4.8496640E-04,8.92852E-01
-4.8494800E-04,9.22148E-01
-4.8492960E-04,8.83086E-01
-4.8491120E-04,8.83086E-01
-4.8489280E-04,9.02617E-01
-4.8487440E-04,8.44023E-01
-4.8485600E-04,8.63555E-01
-4.8483760E-04,9.31914E-01
-4.8481920E-04,9.31914E-01
-4.8480080E-04,9.31914E-01
-4.8478240E-04,9.70977E-01
-4.8476400E-04,9.22148E-01
-4.8474560E-04,9.02617E-01
-4.8472720E-04,9.12383E-01
-4.8470880E-04,8.92852E-01
-4.8469040E-04,9.70977E-01
-4.8467200E-04,9.12383E-01
-4.8465360E-04,9.12383E-01
-4.8463520E-04,9.02617E-01
-4.8461680E-04,9.41680E-01
-4.8459840E-04,9.02617E-01
-4.8458000E-04,9.51445E-01
-4.8456160E-04,9.51445E-01
-4.8454320E-04,9.31914E-01
-4.8452480E-04,9.41680E-01
-4.8450640E-04,9.02617E-01
-4.8448800E-04,9.51445E-01
-4.8446960E-04,9.70977E-01
-4.8445120E-04,9.61211E-01
-4.8443280E-04,9.41680E-01
-4.8441440E-04,9.31914E-01
-4.8439600E-04,9.22148E-01
-4.8437760E-04,8.73320E-01
-4.8435920E-04,9.12383E-01
-4.8434080E-04,9.02617E-01
-4.8432240E-04,8.92852E-01
-4.8430400E-04,9.02617E-01
-4.8428560E-04,9.02617E-01
-4.8426720E-04,9.02617E-01
-4.8424880E-04,8.83086E-01
-4.8423040E-04,8.73320E-01
-4.8421200E-04,8.73320E-01
-4.8419360E-04,8.92852E-01
-4.8417520E-04,8.92852E-01
-4.8415680E-04,8.14727E-01
-4.8413840E-04,8.92852E-01
-4.8412000E-04,9.02617E-01
-4.8410160E-04,9.12383E-01
-4.8408320E-04,8.92852E-01
-4.8406480E-04,8.83086E-01
-4.8404640E-04,8.63555E-01
-4.8402800E-04,8.83086E-01
-4.8400960E-04,8.83086E-01
-4.8399120E-04,8.92852E-01
-4.8397280E-04,8.73320E-01
-4.8395440E-04,8.92852E-01
-4.8393600E-04,9.02617E-01
-4.8391760E-04,8.83086E-01
-4.8389920E-04,9.12383E-01
-4.8388080E-04,9.12383E-01
-4.8386240E-04,8.73320E-01
-4.8384400E-04,9.02617E-01
-4.8382560E-04,8.92852E-01
-4.8380720E-04,8.04961E-01
-4.8378880E-04,8.92852E-01
-4.8377040E-04,9.22148E-01
-4.8375200E-04,9.12383E-01
-4.8373360E-04,8.92852E-01
-4.8371520E-04,9.02617E-01
-4.8369680E-04,8.92852E-01
-4.8367840E-04,8.63555E-01
-4.8366000E-04,8.44023E-01
-4.8364160E-04,8.44023E-01
-4.8362320E-04,9.70977E-01
-4.8360480E-04,8.04961E-01
-4.8358640E-04,8.04961E-01
-4.8356800E-04,8.34258E-01
-4.8354960E-04,8.14727E-01
-4.8353120E-04,8.24492E-01
-4.8351280E-04,7.95195E-01
-4.8349440E-04,7.95195E-01
-4.8347600E-04,8.04961E-01
-4.8345760E-04,7.65898E-01
-4.8343920E-04,7.46367E-01
-4.8342080E-04,8.63555E-01
-4.8340240E-04,8.53789E-01
-4.8338400E-04,8.34258E-01
-4.8336560E-04,8.44023E-01
-4.8334720E-04,8.04961E-01
-4.8332880E-04,8.04961E-01
-4.8331040E-04,7.95195E-01
-4.8329200E-04,8.04961E-01
-4.8327360E-04,9.02617E-01
-4.8325520E-04,8.34258E-01
-4.8323680E-04,8.14727E-01
-4.8321840E-04,8.34258E-01
-4.8320000E-04,8.04961E-01
-4.8318160E-04,8.53789E-01
-4.8316320E-04,8.83086E-01
-4.8314480E-04,8.34258E-01
-4.8312640E-04,8.24492E-01
-4.8310800E-04,8.34258E-01
-4.8308960E-04,7.95195E-01
-4.8307120E-04,8.63555E-01
-4.8305280E-04,8.63555E-01
-4.8303440E-04,8.44023E-01
-4.8301600E-04,8.44023E-01
-4.8299760E-04,8.44023E-01
