in s,C2 in V
-5.9997056E-02,-4.89164E+00
-5.9996128E-02,-4.95023E+00
-5.9995200E-02,-4.89164E+00
-5.9994272E-02,-4.95023E+00
-5.9993344E-02,-4.93070E+00
-5.9992416E-02,-4.95023E+00
-5.9991488E-02,-4.93070E+00
-5.9990560E-02,-4.93070E+00
-5.9989632E-02,-4.98930E+00
-5.9988704E-02,-4.95023E+00
-5.9987776E-02,-4.91117E+00
-5.9986848E-02,-4.93070E+00
-5.9985920E-02,-4.87211E+00
-5.9984992E-02,-4.93070E+00
-5.9984064E-02,-4.91117E+00
-5.9983136E-02,-4.98930E+00
-5.9982208E-02,-4.93070E+00
-5.9981280E-02,-4.91117E+00
-5.9980352E-02,-4.95023E+00
-5.9979424E-02,-4.93070E+00
-5.9978496E-02,-4.91117E+00
-5.9977568E-02,-4.95023E+00
-5.9976640E-02,-4.95023E+00
-5.9975712E-02,-4.91117E+00
-5.9974784E-02,-4.95023E+00
-5.9973856E-02,-4.91117E+00
-5.9972928E-02,-4.91117E+00
-5.9972000E-02,-4.91117E+00
-5.9971072E-02,-4.95023E+00
-5.9970144E-02,-4.91117E+00
-5.9969216E-02,-4.91117E+00
-5.9968288E-02,-4.91117E+00
-5.9967360E-02,-4.95023E+00
-5.9966432E-02,-4.95023E+00
-5.9965504E-02,-4.91117E+00
-5.9964576E-02,-4.93070E+00
-5.9963648E-02,-4.93070E+00
-5.9962720E-02,-4.93070E+00
-5.9961792E-02,-4.93070E+00
-5.9960864E-02,-4.95023E+00
-5.9959936E-02,-4.95023E+00
-5.9959008E-02,-4.93070E+00
-5.9958080E-02,-4.89164E+00
-5.9957152E-02,-4.91117E+00
-5.9956224E-02,-4.91117E+00
-5.9955296E-02,-4.91117E+00
-5.9954368E-02,-4.95023E+00
-5.9953440E-02,-4.89164E+00
-5.9952512E-02,-4.95023E+00
-5.9951584E-02,-4.95023E+00
-5.9950656E-02,-4.91117E+00
-5.9949728E-02,-4.91117E+00
-5.9948800E-02,-4.91117E+00
-5.9947872E-02,-4.91117E+00
-5.9946944E-02,-4.91117E+00
-5.9946016E-02,-4.91117E+00
-5.9945088E-02,-4.87211E+00
-5.9944160E-02,-4.89164E+00
-5.9943232E-02,-4.91117E+00
-5.9942304E-02,-4.91117E+00
-5.9941376E-02,-4.95023E+00
-5.9940448E-02,-4.89164E+00
-5.9939520E-02,-4.89164E+00
-5.9938592E-02,-4.91117E+00
-5.9937664E-02,-4.89164E+00
-5.9936736E-02,-4.91117E+00
-5.9935808E-02,-4.95023E+00
-5.9934880E-02,-4.91117E+00
-5.9933952E-02,-4.95023E+00
-5.9933024E-02,-4.95023E+00
-5.9932096E-02,-4.91117E+00
-5.9931168E-02,-4.91117E+00
-5.9930240E-02,-4.91117E+00
-5.9929312E-02,-4.93070E+00
-5.9928384E-02,-4.91117E+00
-5.9927456E-02,-4.95023E+00
-5.9926528E-02,-4.91117E+00
-5.9925600E-02,-4.93070E+00
-5.9924672E-02,-4.87211E+00
-5.9923744E-02,-4.93070E+00
-5.9922816E-02,-4.91117E+00
-5.9921888E-02,-4.95023E+00
-5.9920960E-02,-4.91117E+00
-5.9920032E-02,-4.95023E+00
-5.9919104E-02,-4.93070E+00
-5.9918176E-02,-4.91117E+00
-5.9917248E-02,-4.93070E+00
